localisation\russian\KR_country_specific\AFG - Afghanistan l_russian.yml

l_russian:

### World Tension ###
 AFG_anglo_afghan_war_threat: "Fifth Anglo-Afghan War"
 ALB_fund_bank_idea_desc: "By incentivising the wealthy to invest in the banks, we can fill up the state's coffer and better carry out the function of the bank while assisting companies and/or nobles who need the money."
 ALB_increased_agricultural_output_idea: "Increased Agricultural Output"
 ALB_increased_agricultural_output_idea_desc: "By introducing new farming methods to our peasant farmers and sharecroppers, thereby weaning them off of subsistence farming, we can ensure that they produce for not only themselves but for the state and the landowners, increasing our agricultural output as a whole."
 ALB_deflation_measures_idea: "Deflation Measures"
 ALB_deflation_measures_idea_desc: "By removing a certain amount of lek from circulation, we can ensure that we can better deal with the effects of inflation caused by Black Monday and stabilise our currency. This will come at the cost of lower production capabilities, however."
 ALB_universal_health_care_idea: "Universal Health Care"
 ALB_universal_health_care_idea_desc: "Fan Noli's idea of universal health care, funded by the state through taxes, will help improve living conditions for regular Albanians alongside assisting the stabilisation of the birth rate."
 ALB_assert_sovereignty_idea: "Assert Albanian Sovereignty"
 ALB_assert_sovereignty_idea_desc: "We shall never let Albania fall to the Austrian or Serbian menace! We shall unite Albanians all around the world and ensure that Albania remains stable, free, and democratic for centuries! Long live Albania and long live the Albanian people!"
 ALB_civil_liberties_idea: "Extended Civil Liberties"
 ALB_civil_liberties_idea_desc: "Granting extended rights and liberties to our people who have been oppressed by the upper class for far too long is paramount to the reformation of a democratic, just, and free Albania."
 ALB_tax_incentives_idea: "Tax Incentives"
 ALB_tax_incentives_idea_desc: "Granting businesses special privileges and tax incentives will help convince them to open up local branches in Albania, thereby increasing our economic activity while making us an attractive investment option to potential investors."
 ALB_liberal_republic_idea: "Liberalisation"
 ALB_liberal_republic_idea_desc: "The Unity Party has finally done what it had originally set out to do and has now made Albania a liberal and westernised republic. No longer shall we lag behind other nations politically and economically. No longer shall our people at the bottom of the ladder suffer. We are a free and democratic nation. Long live Albania and long live the Albanian people!"
 ALB_trade_with_bulgaria_idea: "Albanian-Bulgarian Trade"
 ALB_trade_with_bulgaria_idea_desc: "By establishing economic ties between one another, we can ensure that we are suited to better fight off the economic troubles incurred during Black Monday."
 ALB_trade_with_romania_idea: "Albanian-Romanian Trade"
 ALB_trade_with_romania_idea_desc: "By establishing economic ties between one another, we can ensure that we are suited to better fight off the economic troubles incurred during Black Monday."
 ALB_trade_with_two_sicilies_idea: "Albanian-Sicilian Trade"
 ALB_trade_with_two_sicilies_idea_desc: "By establishing economic ties between one another, we can ensure that we are suited to better fight off the economic troubles incurred during Black Monday."
 ALB_centralise_power_idea: "Centralisation of Power"
 ALB_centralise_power_idea_desc: "By concentrating the Albanian government in the capital of Tirana, we can ensure better and more effective administration alongside easier control of our citizens."
 ALB_preserve_traditions_idea: "Preserve Albanian Traditions"
 ALB_preserve_traditions_idea_desc: "Ensuring the protection of the sacred traditions laid down by our ancestors and keeping those traditions safe from any outsider who seeks to erase and or disrupt them is of the utmost importance. Albania shall remain free for years to come!"
 ALB_assassinated_leader_idea: "Political Coup"
 ALB_assassinated_leader_idea_desc: "While we have managed to secure power, in one way or another, our rule is not recognised as legitimate by the people due to us having acquired power through the use of assassination and coups. In addition, we have destabilised Albania and have disrupted the balance of power. The adjustment will take some time."
 ALB_gave_austria_oil: "Albanian Oil"
 ALB_gave_austria_oil_desc: "We have managed to procure Albanian oil due to our control over the nation. This will certainly be an economic boon in that it will help boost our industrial production."

### Tooltips ###
 ALB_bashkimi_election_win_tt: "§GThe Unity Party has managed to emerge victorious.§!"
 ALB_progressive_election_win_tt: "§GThe Progressive Party has managed to emerge victorious.§!"
 ALB_land_reform_tt: "§RThis will anger the Progressives and the rest of the aristocrats within our nation.§!"
 ALB_stopping_land_reform_tt: "§RThis will anger Bashkimi and the rest of the lower class within our nation.§!"
 ALB_gendarmerie_tt: "§RNot taking this focus may lead to unintended and dire consequences.§!"
 ALB_will_join_BUL_factions: "If Bulgaria creates a faction, Albania will join it."
 ALB_turn_socialist: "Influence from §H[FROM.GetNameDef]§! will result in §Rsocialist§! forces replacing the current government!"

### Decisions ###
 ALB_foreign_policy_decisions: "Foreign Policy"
 ALB_foreign_policy_decisions_desc: "It is crucial that we begin to shift our focus outward and forge alliances and/or establish ties with other nations so as to solidify our position on the world stage."
 ALB_cultivate_egyptian_ties: "Cultivate Egyptian Ties"
 ALB_cultivate_egyptian_ties_desc: "The Egyptian royal family possess Albanian origins and would take kindly to our efforts to improve relations between our two nations. Approaching them would be a natural, and smart, move."
 ALB_reignite_romanian_friendship: "Reignite Romanian Friendship"
 ALB_reignite_romanian_friendship_desc: "We should begin to slowly reignite our friendship with the Romanians, who were the first nation to recognise Albanian independence and one of the first nations to formally establish relations with us."
 ALB_the_tosk_albanians: "The Tosk Albanians"
 ALB_the_tosk_albanians_desc: "The Arbëreshë people, or the Tosk Albanians, are people living in southern Italy who had fled Albania when the Ottoman Empire had conquered the nation and began to convert its citizens to Islam. They have managed to preserve their own culture and language, the Arbëresh language. Seeking to connect with them may also help us with the establishment of ties with the Two Sicilies."
 ALB_foster_relations_with_bulgaria: "Foster Relations with Bulgaria"
 ALB_foster_relations_with_bulgaria_desc: "Bulgaria had supplied and fought alongside Albanian guerrillas and had liberated us from the Serbian menace. Seeking closer ties with them may be beneficial in securing our status as a nation in the Balkans."
 ALB_the_fight_for_kosovo: "The Fight for Kosovo"
 ALB_the_fight_for_kosovo_desc: "The Ottomans had ceded Kosovo, an area that was the centre of the Albanian National Awakening, to the Serbians following the conclusion of the Balkan Wars. The vast majority of people living in the area are of Albanian background and wish to see themselves liberated from Serbian imperialism. We must take back Kosovo, no matter the cost."

 ALB_economic_policy_decisions: "Economic Policy"
 ALB_economic_policy_decisions_desc: "We must make Albania an economically and financially sound nation. The only way we can do so, however, is by pushing for the investment in new types of resources and the creation of new factories. In addition, it is also important that we take into account our rural population as well."
 ALB_hydroelectricity: "Hydroelectricity"
 ALB_hydroelectricity_desc: "We must consider Albania's reputation within the international community. Because we are seen as a poor, backwater nation, it is clear that we must take steps to change that. By allowing for the creation of dams and power plants, we can ensure affordable energy is brought to all parts of Albania; rural or otherwise."
 ALB_emergency_food_aid: "Emergency Food Aid"
 ALB_emergency_food_aid_desc: "Our agricultural sector has been largely left to wither and fail following the collapse of the Berlin Stock Exchange. This has resulted in record low agricultural production, with many of our poorer citizens facing starvation. The situation, as a result, has deteriorated rapidly. If we do not provide support to these people, we may face rioting."

### Country Names ###
 ALB: "Albania"
 ALB_ADJ: "Albanian"
 ALB_DEF: "Albania"

 ALB_totalist: "Albanian Socialist Republic"
 ALB_totalist_DEF: "the Albanian Socialist Republic"
 ALB_syndicalist: "Albanian Socialist Republic"
 ALB_syndicalist_DEF: "the Albanian Socialist Republic"
 ALB_radical_socialist: "Albanian Socialist Republic"
 ALB_radical_socialist_DEF: "the Albanian Socialist Republic"

 ALB_kingdom_social_democrat: "Kingdom of Albania"
 ALB_kingdom_social_democrat_DEF: "the Kingdom of Albania"
 ALB_kingdom_social_liberal: "Kingdom of Albania"
 ALB_kingdom_social_liberal_DEF: "the Kingdom of Albania"
 ALB_kingdom_market_liberal: "Kingdom of Albania"
 ALB_kingdom_market_liberal_DEF: "the Kingdom of Albania"
 ALB_kingdom_social_conservative: "Kingdom of Albania"
 ALB_kingdom_social_conservative_DEF: "the Kingdom of Albania"
 ALB_kingdom_authoritarian_democrat: "Kingdom of Albania"
 ALB_kingdom_authoritarian_democrat_DEF: "the Kingdom of Albania"
 ALB_kingdom_paternal_autocrat: "Kingdom of Albania"
 ALB_kingdom_paternal_autocrat_DEF: "the Kingdom of Albania"
 ALB_kingdom_national_populist: "Kingdom of Albania"
 ALB_kingdom_national_populist_DEF: "the Kingdom of Albania"

### Characters ###
 ALB_enver_hoxha: "Enver Hoxha"
 ALB_enver_hoxha_leader_desc: "§YBorn:§! §LOctober 16th, 1908, in Gjirokastër, Vilayet of Yanya, Ottoman Empire§!\n§YBackground:§! §LComing from a Bektashi background, Hoxha studied in France and became affiliated with the Jacobin faction there. Upon returning to Albania, the young Hoxha joined his idol, Ali Kemendi's, revolutionary movement, but eventually became disillusioned with the movement and the man himself. Calling upon his contacts in the Commune of France, Hoxha then founded a small 'vanguardist' organisation, and thanks to foreign intervention, he and his group now stand astride all of Albania.§!"

 ALB_ali_kelmendi: "Ali Kelmendi"
 ALB_ali_kelmendi_leader_desc: "§YBorn:§! §LNovember 3rd, 1900, in Ipek, Vilayet of Kosovo, Ottoman Empire§!"
 ALB_avni_rustemi: "Avni Rustemi"
 ALB_avni_rustemi_leader_desc: "§YBorn:§! §LSeptember 22nd, 1895, in Gjirokastër, Vilayet of Yanya, Ottoman Empire§!"

 ALB_fan_noli: "Fan Noli"
 ALB_fan_noli_leader_desc: "§YBorn:§! §LJanuary 6th, 1882, in İbriktepe, Vilayet of Edirne, Ottoman Empire§!\n§YBackground:§! §LThe American educated Fan Noli first came to prominence within nationalist circles at the head of a nationalist-aligned breakaway faction from the Albanian Orthodox Church in the United States. He eventually came to also found the 'Vatra' diaspora organisation, which grew quickly and providing critical financing to the nationalist cause.\nThe recent death of the young Avni Rustemi left a great void in the Albanian left and Fan Noli has attempted to fill it. He has attempted to de-militarise the left-nationalist movement, renaming the Unity Party and forging ties with the nation's new middle class.§!"

 ALB_xhafer_ypi: "Xhafer Ypi"
 ALB_xhafer_ypi_leader_desc: "§YBorn:§! §LJanuary 12th, 1880, in Starje, Vilayet of Yanya, Ottoman Empire§!"

 ALB_shefqet_verlaci: "Shefqet Vërlaci"
 ALB_shefqet_verlaci_leader_desc: "§YBorn:§! §LDecember 15th, 1877, in Elbasan, Vilayet of Manastir, Ottoman Empire§!\n§YBackground:§! §LOne of Albania's wealthiest men, Shefqet Vërlaci was a major financial backer of the nationalist conspiracy which overthrew Prince Wilhelm. He likewise greatly affected the political system of the young Albanian Republic, particularly in the bicameral structure of the legislature. He now focuses his considerable wealth and political acumen to the preservation of the aristocratic power in Albania, particularly in opposition to increasingly popular radical land reform proposals.§!"

 ALB_ahmet_zogu: "Ahmet Zogu"
 ALB_ahmet_zogu_leader_desc: "§YBorn:§! §LOctober 8th, 1895, in Castle Burgajet, Burrel, Vilayet of Manastir, Ottoman Empire§!"
 ALB_luigj_bumci: "Luigj Bumçi"
 ALB_luigj_bumci_leader_desc: "§YBorn:§! §LNovember 7th, 1872, in Scutari, Scutari Vilayet, Ottoman Empire§!"
 ALB_eshref_frasheri: "Eshref Frashëri"
 ALB_eshref_frasheri_leader_desc: "§YBorn:§! §LOctober 15th, 1874, in Korçë, Vilayet of Manastir, Ottoman Empire§!"
 ALB_midhat_frasheri: "Mid'hat Frashëri"
 ALB_midhat_frasheri_leader_desc: "§YBorn:§! §LMarch 25th, 1880, in Janina, Vilayet of Yanya, Ottoman Empire§!"

 ALB_wilhelm_zu_wied: "Wilhelm zu Wied"
 ALB_wilhelm_zu_wied_leader_desc: "§YBorn:§! §LMarch 26th, 1876, in Neuwied Castle, Neuwied, Rhine Province, Kingdom of Prussia, German Empire§!\n§YBackground:§! §LA German army officer and middling noble, just before the start of the Weltkrieg, Wilhelm was crowned Prince of the newly independent Albania. However, the Weltkrieg would quickly see Wilhelm all but deposed as Albania became a battleground. Eventually restored to the throne, Wilhelm was then quickly overthrown and an Albanian republic declared.\nOnce again restored to the Albanian throne, Wilhelm now juggles competing interests and personal loyalties at home and abroad. Perhaps in time with the assistance of his foreign benefactors, the Albanian people will come to fully accept this German Protestant as their Prince.§!"

 ALB_luigj_gurakuqi: "Luigj Gurakuqi"
 ALB_luigj_gurakuqi_advisor_desc: "§YBorn:§! §LFebruary 19th, 1879, in Scutari, Scutari Vilayet, Ottoman Empire§!"
 ALB_ibrahim_karbunara: "Ibrahim Karbunara"
 ALB_ibrahim_karbunara_advisor_desc: "§YBorn:§! §L1879, in Lushnjë, Vilayet of Yanya, Ottoman Empire§!"
 ALB_mehdi_frasheri: "Mehdi Frashëri"
 ALB_mehdi_frasheri_advisor_desc: "§YBorn:§! §LFebruary 28th, 1872, in Frashër, Vilayet of Yanya, Ottoman Empire§!"
 ALB_hasan_prishtina: "Hasan Prishtina"
 ALB_hasan_prishtina_advisor_desc: "§YBorn:§! §LSeptember 27th, 1873, in Vushtrria, Vilayet of Kosovo, Ottoman Empire§!"
 ALB_fejzi_alizoti: "Fejzi Alizoti"
 ALB_fejzi_alizoti_advisor_desc: "§YBorn:§! §LSeptember 22nd, 1874, in Gjirokastër, Vilayet of Yanya, Ottoman Empire§!"
 ALB_gustaf_von_myrdacz: "Gustaf von Myrdacz"
 ALB_gustaf_von_myrdacz_army_chief_desc: "§YBorn:§! §LJuly 12th, 1874, in Vienna, Archduchy of Austria below the Enns, Austria-Hungary§!"
 ALB_prenk_pervizi: "Prenk Pervizi"
 ALB_prenk_pervizi_high_command_desc: "§YBorn:§! §LMay 4th, 1897, in Skuraj, Scutari Vilayet, Ottoman Empire§!"
 ALB_muharrem_bajraktari: "Muharrem Bajraktari"
 ALB_muharrem_bajraktari_commander_desc: "§YBorn:§! §LMay 15th, 1896, in Ujëmisht, Vilayet of Manastir, Ottoman Empire§!"
 ALB_hermann_kirchner: "Hermann Kirchner"
 ALB_hermann_kirchner_commander_desc: "§YBorn:§! §LMay 6th, 1890, in Feldbach, Duchy of Styria, Austria-Hungary§!"
 ALB_elez_isufi: "Elez Isufi"
 ALB_elez_isufi_commander_desc: "§YBorn:§! §L1861, in Sllovë, Vilayet of Manastir, Ottoman Empire§!"
 ALB_azem_galica: "Azem Galica"
 ALB_azem_galica_commander_desc: "§YBorn:§! §LDecember 10th, 1889, in Vushtrri, Vilayet of Kosovo, Ottoman Empire§!"
 ALB_stefan_maliko_goges: "Stefan Maliko Gogës"
 ALB_stefan_maliko_goges_admiral_desc: "§YBorn:§! §LDecember 10th, 1889, in Gjirokastër, Vilayet of Yanya, Ottoman Empire§!"
 ALB_ali_shefqet_shkupi: "Ali Shefqet Shkupi"
 ALB_ali_shefqet_shkupi_army_chief_desc: "§YBorn:§! §LSeptember 1883, in Skopje, Vilayet of Kosovo, Ottoman Empire§!"
 ALB_kadri_rustem_bardulla: "Kadri Rustem Bardulla"
 ALB_kadri_rustem_bardulla_navy_chief_desc: "§YBorn:§! §L1907, in Peshkopi, Vilayet of Manastir, Ottoman Empire§!"
 ALB_spiro_moisiu: "Spiro Moisiu"
 ALB_spiro_moisiu_high_command_desc: "§YBorn:§! §LMay 5th, 1900, in Kavajë, Scutari Vilayet, Ottoman Empire§!"
 ALB_bajram_fevziu: "Bajram Fevziu"
 ALB_bajram_fevziu_high_command_desc: "§YBorn:§! §L1884, in Kolonjë, Vilayet of Manastir, Ottoman Empire§!"
 ALB_mujo_ulqinaku: "Mujo Ulqinaku"
 ALB_mujo_ulqinaku_high_command_desc: "§YBorn:§! §L1896, in Ulcinj, Principality of Montenegro§!"

localisation\russian\KR_country_specific\ALG - Algeria l_russian.yml

l_russian:

### Parties ###
 ALG_totalist_party: "ENA"
 ALG_totalist_party_long: "Étoile Nord-Africaine (Imachiste)"
 ALG_syndicalist_party: "ENA"
 ALG_syndicalist_party_long: "Étoile Nord-Africaine"
 ALG_radical_socialist_party: "MNA"
 ALG_radical_socialist_party_long: "Mouvement National Algérien"
 ALG_social_democrat_party: "MPA"
 ALG_social_democrat_party_long: "Mouvement Populaire Algérien"
 ALG_social_liberal_party: "RD"
 ALG_social_liberal_party_long: "Rassemblement pour la Démocratie"
 ALG_market_liberal_party: "RND"
 ALG_market_liberal_party_long: "Rassemblement National Démocratique"
 ALG_social_conservative_party: "Mouvement Ouléma"
 ALG_social_conservative_party_long: "Mouvement Ouléma"
 ALG_authoritarian_democrat_party: "Action Algérienne"
 ALG_authoritarian_democrat_party_long: "Action Algérienne"
 ALG_paternal_autocrat_party: "Action Algérienne"
 ALG_paternal_autocrat_party_long: "Action Algérienne"
 ALG_national_populist_party: "Action Algérienne"
 ALG_national_populist_party_long: "Action Algérienne"

### Country Names ###
 ALG: "Algeria"
 ALG_ADJ: "Algerian"
 ALG_DEF: "Algeria"

 ALG_totalist: "Algerian Republic"
 ALG_totalist_DEF: "the Algerian Republic"
 ALG_syndicalist: "Algerian Republic"
 ALG_syndicalist_DEF: "the Algerian Republic"
 ALG_radical_socialist: "Algerian Republic"
 ALG_radical_socialist_DEF: "the Algerian Republic"
 ALG_social_democrat: "Algerian Republic"
 ALG_social_democrat_DEF: "the Algerian Republic"
 ALG_social_liberal: "Algerian Republic"
 ALG_social_liberal_DEF: "the Algerian Republic"
 ALG_market_liberal: "Algerian Republic"
 ALG_market_liberal_DEF: "the Algerian Republic"
 ALG_national_populist: "Dzayir"
 ALG_national_populist_DEF: "Dzayir"

### Characters ###
 ALG_amar_imache: "Amar Imache"
 ALG_amar_imache_leader_desc: "§YBorn:§! §LJuly 7th, 1895, in Ait Mesbah, Algiers, Algeria, French Republic§!"
 ALG_belkacem_radjef: "Belkacem Radjef"
 ALG_belkacem_radjef_leader_desc: "§YBorn:§! §LSeptember 19th, 1909, in Fort-National, Algiers, Algeria, French Republic§!"
 ALG_mohammed_bellounis: "Mohammed Bellounis"
 ALG_mohammed_bellounis_leader_desc: "§YBorn:§! §LDecember 11th, 1912, in Bordj Menaïel, Algiers, Algeria, French Republic§!"
 ALG_moufdi_zakaria: "Moufdi Zakaria"
 ALG_moufdi_zakaria_leader_desc: "§YBorn:§! §LJune 12th, 1908, in Beni Isguen, Ghardaïa, Algerian Southern Territories, French Republic§!"
 ALG_mohammed_saleh_bendjelloul: "Mohammed Saleh Bendjelloul"
 ALG_mohammed_saleh_bendjelloul_leader_desc: "§YBorn:§! §LDecember 8th, 1893, in Constantine, Algeria, French Republic§!"
 ALG_abdelhamid_ben_badis: "Abdelhamid Ben Badis"
 ALG_abdelhamid_ben_badis_leader_desc: "§YBorn:§! §LDecember 4th, 1889, in Constantine, Algeria, French Republic§!"
 ALG_ferhat_abbas: "Ferhat Abbas"
 ALG_ferhat_abbas_leader_desc: "§YBorn:§! §LAugust 24th, 1899, in Taher, Constantine, Algeria, French Republic§!"
 ALG_mostefa_ben_boulaid: "Mostefa Ben Boulaïd"
 ALG_mostefa_ben_boulaid_commander_desc: "§YBorn:§! §LFebruary 5th, 1917, in Arris, Constantine, Algeria, French Republic§!"
 ALG_larbi_ben_mhidi: "Larbi Ben M'hidi"  # Born 1923 irl
 ALG_larbi_ben_mhidi_commander_desc: "§YBorn:§! §Lin Aïn M'lila, Constantine, Algeria, French Republic§!"
 ALG_youcef_zighoud: "Youcef Zighoud" # Born 1921 irl
 ALG_youcef_zighoud_commander_desc: "§YBorn:§! §Lin Sidi Mezghiche, Constantine, Algeria, French Republic§!"
 ALG_krim_belkacem: "Krim Belkacem" # Born 1922 irl
 ALG_krim_belkace_commander_desc: "§YBorn:§! §Lin Aït Yahia Moussa, Alger, Algeria, French Republic§!"

localisation\russian\KR_country_specific\AMA - Amazonas l_russian.yml

l_russian:

 Para_Focus: "Grão Pará Focus Tree"

### Parties ###
 AMA_totalist_party: "CRM"
 AMA_totalist_party_long: "Comitê Revolucionario Maximista"
 AMA_syndicalist_party: "PTS"
 AMA_syndicalist_party_long: "Partido Trabalhista Sindical"
 AMA_radical_socialist_party: "CAA"
 AMA_radical_socialist_party_long: "Confederação Anarquista Amazonense"
 AMA_social_democrat_party: "PSD"
 AMA_social_democrat_party_long: "Partido Social Democrata"
 AMA_social_liberal_party: "UDN"
 AMA_social_liberal_party_long: "União Democrática Nacional"
 AMA_market_liberal_party: "PL"
 AMA_market_liberal_party_long: "Partido Liberal"
 AMA_social_conservative_party: "PF"
 AMA_social_conservative_party_long: "Partido Federalista"
 AMA_authoritarian_democrat_party: "PP"
 AMA_authoritarian_democrat_party_long: "Partido Progressista"
 AMA_paternal_autocrat_party: "PC"
 AMA_paternal_autocrat_party_long: "Partido Centralista"
 AMA_national_populist_party: "PIA"
 AMA_national_populist_party_long: "Partido Integralista Amazonense"

### Characters ###
 AMA_joaquim_de_magalhaes_cardoso_barata: "Joaquim de Magalhães Cardoso Barata"
 AMA_joaquim_de_magalhaes_cardoso_barata_leader_desc: "§YBorn:§! §LJune 2nd, 1888, in Belém, Pará, Empire of Brazil§!\n§YBackground:§! §LJoaquim de Magalhães Cardoso Barata has served with distinction in the Brazilian army for decades, having a long career in the forces. He is however more well known for his multiple tenures as an administrator in the state, as he is the leader of the local military faction in that state that supported São Paulo in the interstate war. His tenures were usually stable, even during election year he often found himself at odds with other major political factions and actions, such as his main rivals in the Sodré family, who accused Barata of voter fraud on multiple occasions, but the political union with Amazonas and other northern states should give him some more room to manoeuvre. As president of Pará, Barata is also commander-in-chief, and his influence with the newly formed military should not be underestimated, for he has taken close attention to the formation of this military force. Having for so long struggled to maintain political control of the region, Barata now finally has Pará marching under the beat of his drum.§!"
 AMA_joaquim_de_magalhaes_cardoso_barata_commander_desc: "§YBorn:§! §LJune 2nd, 1888, in Belém, Pará, Empire of Brazil§!"

 AMA_lauro_nina_sodre_e_silva: "Lauro Nina Sodré e Silva"
 AMA_lauro_nina_sodre_e_silva_leader_desc: "§YBorn:§! §LOctober 17th, 1858, in Belém, Pará, Empire of Brazil§!\n§YBackground:§! §LLauro Nina Sodré e Silva had left political behind him after the interstate war, but the current situation of Pará as an independent nation brought him back to the forefront, this time as its head of state, not merely as its governor; the old man is more than just a powerful and veteran politician, but also perhaps the oldest active politician in Pará. Also a military man, like many of the leaders in Brazil during the times of the old republic, he took part in the Vaccine Revolt in Rio, being arrested in the process, and after that, continued his career as a multiple-time representative for his state in that city. While his years may be running out, he is preparing the new republic's political system to stay aligned with his family and allies, while also balancing foreign demands and repairing wartime damage to the vital port infrastructure across the states he now rules over.§!"

 AMA_valdemar_pedrosa: "Valdemar Pedrosa"
 AMA_valdemar_pedrosa_leader_desc: "§YBorn:§! §LMarch 29th, 1888, in Manaus, Amazonas, Empire of Brazil§!\n§YBackground:§! §LValdemar is the son of Jônatas de Freitas Pedrosa, a former senator and state president of Amazonas with a famous and divisive legacy in the region. As per usual with members of wealthy political families in Brazil at the time, Valdemar entered law school early and pursued a career in law before officially entering politics, primarily in teaching and administrative positions in the University of Amazonas. His official entry to politics is somewhat recent, and much of it rides in the coattails of his father's political legacy during the Old Republic as the previous structures rapidly shifted as the 1930s began. While now finding himself in a privileged position as head of state, he now faces many challenges as the newly established federal structures are being disputed aggressively by politicians and landowners from Pará and his own home state of Amazonas, while also having to handle pressures by foreign powers for resources on the young republic.§!"

 AMA_alvaro_botelho_maia: "Álvaro Botelho Maia"
 AMA_alvaro_botelho_maia_leader_desc: "§YBorn:§! §LFebruary 19th, 1893, in Humaitá, Amazonas, United States of Brazil§!\n§YBackground:§! §LÁlvaro Botelho Maia moved while still young to the provincial capital of Manaus to finish his studies, and quickly found himself involved in local newspapers and later followed on into politics, but he is also a poet and a writer in his free time. While his career so far has been a string of relatively unimportant appointed positions in smaller territories of the defunct Brazilian government, his growing frustration of his lack of power to properly reform the northern reaches of the country was immense even before the war, and now he sees himself in a prime position to modernise Amazonas' still young economy, education and political infrastructure. However, being both a reformer and not of a traditional political family puts him in a collision course with powerful landowners and rubber barons, and he will have to spend significant effort to see these changes through even with foreign backing.§!"

 AMA_efigenio_ferreira_de_salles: "Efigênio Ferreira de Salles"
 AMA_efigenio_ferreira_de_salles_leader_desc: "§YBorn:§! §LAugust 16th, 1877, in Serro, Minas Gerais, Empire of Brazil§!\n§YBackground:§! §LEfigênio Ferreira de Salles was at the helm of the state of Amazonas at the start of the interstate war, and when the news of the war reached the north, he opted for a 'wait and see' stance, which resulted in him being ousted from office after the rebels successfully ousted president Bernardes on that occasion; since then, he occupied relatively minor positions as a representative and worked as a teacher, his primary job for much of his life. However, the result of the war Brazil found itself in has made his political destiny take another unexpected turn, as he is now the president and head of state of the newly founded republic of Amazonas, a position both powerful and precarious, as his influence in Belém and outside of Amazonas in general is severely limited, especially after so many years out of the upper echelon of the great game. However, his experience, allies in Manaos and foreign backing almost ensure that in any contentious matters, his voice will be the last one heard and the one truly heeded in the young republic.§!"

 AMA_siseno_ramos_sarmento: "Siseno Ramos Sarmento"
 AMA_siseno_ramos_sarmento_leader_desc: "§YBorn:§! §LJune 3rd, 1907, in Manaus, Amazonas, United States of Brazil§!"

 AMA_guilherme_paraense: "Guilherme Paraense"
 AMA_guilherme_paraense_commander_desc: "§YBorn:§! §LJune 25th, 1884, in Belém, Pará, Empire of Brazil§!"

### Ideas ###
 AMA_riverland: "The Riverland"
 AMA_riverland_desc: "Grão Pará is slowly but surely working to establish full control over the remote Amazon riverlands."

 AMA_pare: "Riparian Army"
 AMA_pare_desc: "The army of Grão Pará has undergone a series of transformative structural reforms. Its fighting ability, especially in the harsh terrain of the Amazon, has greatly increased."

 AMA_no_fist_contact: "Positive Contact Policy"
 AMA_no_fist_contact_desc: "Amazonas has established a native-contact policy designed to minimise destruction of the natives and their culture."

 AMA_idenitity: "Paránese Identity"
 AMA_idenitity_desc: "The Paránese regime is working to build a uniquely Paránese cultural identity among its people."

 AMA_gold: "Natural Bounty"
 AMA_gold_desc: "Grão Pará has begun to exploit its deposits of precious minerals. Living standards have risen as a result"

 AMA_gold_rush: "Gold Rush"
 AMA_gold_rush_desc: "A boom in production of gold and other precious minerals has attracted substantial investment. An unprecedented number of private citizens likewise seek their fortune."

 AMA_land_reorg_idea: "Settlement of the Amazon"
 AMA_land_reorg_idea_desc: "Grão Pará is encouraging both citizens and immigrants to establish new settlements throughout the Amazon region."

### National Focuses ###
 AMA_the_great_riverland: "Land of the Great River"
 AMA_the_great_riverland_desc: "The Amazon is the largest river in the world and the focal point of our new nation - indeed, Belém, our greatest city lies next to its great mouth. Upstream, however, there has always been a lack of political control. We must succeed where Brazil had failed and properly govern the riverland."

 AMA_political_restructurong: "Political Restructuring"
 AMA_political_restructurong_desc: "Our government has inherited severe inefficiency from Brazil. While changing this reality will take time, we must begin the process."

 AMA_tracking_and_exploration: "Trackers and Explorers"
 AMA_tracking_and_exploration_desc: "The Amazon is dense and foreboding, with much of its verdant catacombs unexplored. We should recruit men with experiencing navigating the jungle and pass their knowledge to our armed forces and civilian administration."

 AMA_seize_brazilian_assets: "Seize Southern Assets"
 AMA_seize_brazilian_assets_desc: "Many industries, owned by companies and individuals from the south, continue to pillage our nation for their own gain. This must end - these enterprises must serve our nation."

 AMA_state_protection: "Defence of the State"
 AMA_state_protection_desc: "While in the cities, our new nation has consolidated its control rapidly, the influence of the state dissipates quickly in rural areas. To combat this, we should fund the creation and population of new communities centred around heavily subsidised light industry. These beacons of civilisation shall naturally become small nexuses of governance."

 AMA_land_reorganization: "Land Reorganisation"
 AMA_land_reorganization_desc: "Our new system of land management is insufficient to handle significant expansion. However, the virgin lands which our explorers have mapped cannot sit idle. We must do whatever necessary to administer and distribute these lands."

 AMA_development_program: "Development Programme"
 AMA_development_program_desc: "The initiative to develop new light industrial settlements has found some success but our industry lags behind the rest of the world in its sophistication. Let us focus on achieving parity with even the great powers of the world."

 AMA_native_protection: "Help our Natives"
 AMA_native_protection_desc: "The indigenous people of the Amazon live in horrid conditions with little economic opportunity, often exploited by illegal enterprises operating in the jungle. This must end; all native tribes much be given a government attaché to protect against abuses."

 AMA_prime_directive: "First Contact Policy"
 AMA_prime_directive_desc: "While contact with civilisation may bring some benefit to the most isolated native groups, it also would surely bring a myriad of problems, especially disease and culture destruction. We must institutionalise a pro-active yet socially conscious contact policy."

 AMA_governmental_reform: "Governmental Reform"
 AMA_governmental_reform_desc: "The shock of our nation's quick separation from Brazil left little time to develop sufficient political institutions. With the shock now past, we should seek to remedy the shortcomings of our governmental structure."

